detected_at_utc;status;reference_date;value;detail
2026-08-11T01:15:47Z;error;;;http_502
2026-08-11T03:06:19Z;error;;;http_502
2026-08-11T05:11:54Z;error;;;http_502
2026-08-11T15:00:30Z;error;;;invalid_json
2026-08-12T01:13:02Z;ok;10/08/2026;0.1709;
2026-08-12T13:14:57Z;ok;11/08/2026;0.1708;
2026-08-13T13:17:42Z;ok;12/08/2026;0.1708;
2026-08-13T14:59:52Z;error;;;invalid_json
2026-08-14T13:11:57Z;ok;13/08/2026;0.1691;
2026-08-16T23:21:57Z;error;;;http_502
2026-08-17T12:49:08Z;ok;14/08/2026;0.1439;
2026-08-18T12:51:25Z;ok;17/08/2026;0.1708;
2026-08-19T12:52:15Z;ok;18/08/2026;0.1708;
2026-08-20T12:53:59Z;ok;19/08/2026;0.1707;
2026-08-20T15:36:06Z;error;;;invalid_json
2026-08-21T15:35:54Z;ok;20/08/2026;0.1690;
2026-08-24T07:03:00Z;error;;;http_502
2026-08-24T12:54:46Z;ok;21/08/2026;0.1439;
